"Date","Main Pollutant","Overall AQI Value","CO","SO2","NO2","Ozone","PM10","PM25"
"01/01/2015","PM2.5","156","28","3","38","35","23","156"
"01/02/2015","PM2.5","105","20","0","40","35","21","105"
"01/03/2015","PM2.5","106","23","4","42","37","28","106"
"01/04/2015","PM2.5","107","25","3","45","40","26","107"
"01/05/2015","PM2.5","57","15","4","51","37","23","57"
"01/06/2015","PM10","63","19","6","52","36","63","52"
"01/07/2015","PM2.5","59","22","4","56","33","20","59"
"01/08/2015","PM2.5","77","28","6","56","25","28","77"
"01/09/2015","PM2.5","105","20","4","62","25","39","105"
"01/10/2015","PM2.5","123","19","3","42","18","31","123"
"01/11/2015","PM2.5","76","13","3","28","35","22","76"
"01/12/2015","PM2.5","103","15","3","35","31","51","103"
"01/13/2015","PM2.5","114","16","3","41","38","33","114"
"01/14/2015","PM2.5","70","24","4","49","36","15","70"
"01/15/2015","PM2.5","46","18","3","44","35","15","46"
"01/16/2015","PM2.5","54","17","7","46","31","14","54"
"01/17/2015","PM2.5","80","30","10","63","39","12","80"
"01/18/2015","PM2.5","105","23","10","50","35","37","105"
"01/19/2015","PM2.5","110","38","7","69","39","33","110"
"01/20/2015","PM2.5","153","20","4","56","31","55","153"
"01/21/2015","PM2.5","159","14","4","53","41","60","159"
"01/22/2015","PM2.5","83","23","6","52","38","16","83"
"01/23/2015","PM2.5","53","19","9","48","39","15","53"
"01/24/2015","PM2.5","72","32","10","54","42","43","72"
"01/25/2015","NO2","86","30","20","86","41","11","47"
"01/26/2015","PM2.5","50","18","3","45","31","13","50"
"01/27/2015","PM2.5","52","10","7","35","33","12","52"
"01/28/2015","PM2.5","56","14","3","41","38","12","56"
"01/29/2015","PM2.5","64","14","3","45","32","11","64"
"01/30/2015","PM2.5","78","14","3","36","29","22","78"
"01/31/2015","PM2.5","69","17","9","33","40","19","69"
"02/01/2015","PM2.5","73","19","6","41","38","14","73"
"02/02/2015","PM2.5","87","27","10","61","40","19","87"
"02/03/2015","PM2.5","120","22","1","72","41","34","120"
"02/04/2015","PM2.5","156","22","0","69","48","54","156"
"02/05/2015","PM2.5","149","18","7","72","49","61","149"
"02/06/2015","PM2.5","141","16","4","57","44","44","141"
"02/07/2015","PM2.5","98","15","11","45","30","31","98"
"02/08/2015","PM2.5","72","13","1","34","33","15","72"
"02/09/2015","PM2.5","48","10","6","36","40","19","48"
"02/10/2015","PM2.5","60","16","4","51","42","18","60"
"02/11/2015","PM2.5","55","23","6","55","44","38","55"
"02/12/2015","NO2","51","18","3","51","46","13","43"
"02/13/2015","PM2.5","56","15","1","54","48","19","56"
"02/14/2015","Ozone","58","19","6","51","58","18","55"
"02/15/2015","Ozone","93","18","4","46","93","21","65"
"02/16/2015","PM2.5","101","15","4","43","90","35","101"
"02/17/2015","PM2.5","110","8","3","38","64","48","110"
"02/18/2015","PM2.5","127","13","7","41","50","54","127"
"02/19/2015","PM2.5","152","9","4","42","71","56","152"
"02/20/2015","PM2.5","130","8","0","41","49","52","130"
"02/21/2015","PM2.5","80","13","0","36","47","27","80"
"02/22/2015","PM2.5","60","6","1","27","42","12","60"
"02/23/2015","PM2.5","50","9","0","42","37","18","50"
"02/24/2015","Ozone","43","14","1","40","43","14","41"
"02/25/2015","PM2.5","60","14","4","43","40","22","60"
"02/26/2015","PM2.5","71","16","3","43","45","27","71"
