ReportingArea,State,IssueDate,ForecastDate,ForecastPeriod,Parameter,AQI,AQI Category,LevelOfHealthConcern,ActionDayName,ActionDay,TimeZone,Latitude,Longitude,Acquired
Central LA CO,CA,12/31/2009 0:00,1/1/2010 0:00,Next Day,CO,15,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,12/31/2009 0:00,1/1/2010 0:00,Next Day,NO2,20,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,12/31/2009 0:00,1/1/2010 0:00,Next Day,OZONE,29,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,12/31/2009 0:00,1/1/2010 0:00,Next Day,PM10,29,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,12/31/2009 0:00,1/1/2010 0:00,Next Day,PM2.5,54,2,Moderate,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/1/2010 0:00,1/2/2010 0:00,Next Day,CO,15,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/1/2010 0:00,1/2/2010 0:00,Next Day,NO2,30,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/1/2010 0:00,1/2/2010 0:00,Next Day,OZONE,24,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/1/2010 0:00,1/2/2010 0:00,Next Day,PM10,31,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/1/2010 0:00,1/2/2010 0:00,Next Day,PM2.5,56,2,Moderate,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,12/31/2009 0:00,1/2/2010 0:00,2 Day,OZONE,24,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,12/31/2009 0:00,1/2/2010 0:00,2 Day,PM2.5,56,2,Moderate,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/2/2010 0:00,1/3/2010 0:00,Next Day,CO,15,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/2/2010 0:00,1/3/2010 0:00,Next Day,NO2,30,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/2/2010 0:00,1/3/2010 0:00,Next Day,OZONE,24,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/2/2010 0:00,1/3/2010 0:00,Next Day,PM10,31,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/2/2010 0:00,1/3/2010 0:00,Next Day,PM2.5,56,2,Moderate,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/3/2010 0:00,1/4/2010 0:00,Next Day,CO,15,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/3/2010 0:00,1/4/2010 0:00,Next Day,NO2,30,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/3/2010 0:00,1/4/2010 0:00,Next Day,OZONE,30,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/3/2010 0:00,1/4/2010 0:00,Next Day,PM10,28,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/3/2010 0:00,1/4/2010 0:00,Next Day,PM2.5,52,2,Moderate,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/4/2010 0:00,1/5/2010 0:00,Next Day,CO,15,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/4/2010 0:00,1/5/2010 0:00,Next Day,NO2,20,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/4/2010 0:00,1/5/2010 0:00,Next Day,OZONE,31,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/4/2010 0:00,1/5/2010 0:00,Next Day,PM10,28,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
